window_id,flight_id,window_index,num_samples,true_label,predicted_label,is_correct,fault_samples_in_window,max_vel_z,max_vel_xy,max_gyro_xy,max_gyro_z
2018-07-18/flight1_w0,2018-07-18/flight1,0,100,Nominal,Nominal,True,0,0.040000,0.240000,0.033000,0.008000
2018-07-18/flight1_w1,2018-07-18/flight1,1,100,Nominal,Nominal,True,0,0.050000,0.230000,0.025000,0.008000
2018-07-18/flight1_w2,2018-07-18/flight1,2,100,Nominal,Nominal,True,0,0.030000,0.250000,0.025000,0.008000
2018-07-18/flight1_w3,2018-07-18/flight1,3,100,Nominal,Nominal,True,0,0.060000,0.210000,0.025000,0.008000
2018-07-18/flight1_w4,2018-07-18/flight1,4,100,Nominal,Nominal,True,0,0.040000,0.220000,0.025000,0.009000
2018-07-18/flight1_w5,2018-07-18/flight1,5,100,Nominal,Nominal,True,0,0.050000,0.180000,0.025000,0.008000
2018-07-18/flight1_w6,2018-07-18/flight1,6,100,Nominal,Nominal,True,0,0.050000,0.200000,0.072000,0.014000
2018-07-18/flight1_w7,2018-07-18/flight1,7,100,Nominal,Nominal,True,0,0.050000,0.240000,0.038000,0.008000
2018-07-18/flight1_w8,2018-07-18/flight1,8,100,Nominal,Nominal,True,0,0.040000,0.170000,0.027000,0.009000
2018-07-18/flight1_w9,2018-07-18/flight1,9,100,Nominal,Nominal,True,0,0.030000,0.220000,0.025000,0.009000
2018-07-18/flight1_w10,2018-07-18/flight1,10,100,Nominal,Nominal,True,0,0.020000,0.160000,0.025000,0.008000
2018-07-18/flight1_w11,2018-07-18/flight1,11,100,Nominal,Nominal,True,0,0.050000,0.340000,0.027000,0.010000
2018-07-18/flight2_w0,2018-07-18/flight2,0,100,Nominal,Nominal,True,0,0.040000,0.100000,0.024000,0.014000
2018-07-18/flight2_w1,2018-07-18/flight2,1,100,Nominal,Nominal,True,0,0.060000,0.120000,0.024000,0.016000
2018-07-18/flight2_w2,2018-07-18/flight2,2,100,Nominal,Nominal,True,0,0.020000,0.100000,0.023000,0.018000
2018-07-18/flight2_w3,2018-07-18/flight2,3,100,Nominal,Nominal,True,0,0.020000,0.090000,0.022000,0.013000
2018-07-18/flight2_w4,2018-07-18/flight2,4,100,Nominal,Nominal,True,0,0.040000,0.120000,0.023000,0.014000
2018-07-18/flight2_w5,2018-07-18/flight2,5,100,Nominal,Nominal,True,0,0.040000,0.100000,0.023000,0.010000
2018-07-18/flight2_w6,2018-07-18/flight2,6,100,Nominal,Nominal,True,0,0.010000,0.080000,0.024000,0.013000
2018-07-18/flight2_w7,2018-07-18/flight2,7,100,Nominal,Nominal,True,0,0.020000,0.120000,0.024000,0.016000
2018-07-18/flight2_w8,2018-07-18/flight2,8,100,Nominal,Nominal,True,0,0.010000,0.090000,0.024000,0.013000
2018-07-18/flight2_w9,2018-07-18/flight2,9,100,Nominal,Nominal,True,0,0.010000,0.090000,0.025000,0.014000
